Tree_ID,GPS_N_dd,GPS_W_dd
ARCO01,35.024383,-118.678567
ARCO02,35.024383,-118.679083
ARCO03,35.024417,-118.67945
ARCO04,35.024333,-118.67945
ARCO05,35.0246,-118.6798
ARCO06,35.024817,-118.679867
ARCO07,35.0249,-118.680183
ARCO08,35.024933,-118.68045
ARCO09,35.024383,-118.680333
ARCO20,35.023167,-118.676833
ARCO21,35.023083,-118.677333
ARCO22,35.023083,-118.67745
ARCO23,35.022967,-118.677667
ARCO24,35.02295,-118.678133
ARTE01,35.024,-118.677567
INCE01,34.976433,-118.587467
INCE02B,34.97655,-118.58707
INCO01,34.976067,-118.588417
INCO03,34.97585,-118.5886
INCO06,34.976217,-118.588767
INCO07,34.976133,-118.5886
INCO08,34.976133,-118.588583
INCO10,34.975383,-118.5882
INCX02A,34.9766988,-118.58757
INCX03A,34.9766988,-118.58757
INCX03B,34.9766988,-118.58757
INCX04A,34.9766988,-118.58757
INCX04B,34.9766988,-118.58757
INCX05A,34.9766988,-118.58757
INCX05B,34.9766988,-118.58757
INCX06A,34.9766988,-118.58757
INCX06B,34.9766988,-118.58757
INCX08A,34.9766988,-118.58757
INCX08B,34.9766988,-118.58757
INCX09A,34.9766988,-118.58757
INCX09B,34.9766988,-118.58757
INTE01,34.976533,-118.587767
INTE02B,34.976667,-118.58802
MECE02,34.971067,-118.583267
MECE03A,34.971383,-118.583583
MECE04B,34.970967,-118.582917
MECE05,34.971217,-118.582917
MECE07B,34.97135,-118.583
MECO01A,34.971333,-118.582517
MECO03B,34.97215,-118.582867
MECO06,34.972217,-118.58255
MECO07,34.972267,-118.58265
MECO08A,34.97225,-118.582733
METE01,34.97115,-118.58245
METE02,34.971167,-118.582217
METE04,34.970967,-118.582233
METE05,34.971017,-118.582233
METE06,34.970767,-118.581867